vuln_id,severity_raw,ip,hostname,port,instance_id,component,affected_version,cvss_score,cvss_vector,description,references,title,fix_version,published_date,epss_score,kev_flag,exploit_exists,exploit_count
CVE-2022-26134,CRITICAL,172.16.10.18,,,,confluence,7.13.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Atlassian Confluence Server and Data Center OGNL injection vulnerability allows unauthenticated remote code execution.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-26134', 'https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html', 'https://github.com/jbaines-r7/through_the_wire']","CVE-2022-26134: In affected versions of Confluence Server and Data Center, an OGNL injection ...",7.4.17,2022-06-03,0.99999,1,1,1
CVE-2022-26134,CRITICAL,172.16.10.18,,,,confluence,7.13.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Atlassian Confluence Server and Data Center OGNL injection vulnerability allows unauthenticated remote code execution.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-26134', 'https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html', 'https://github.com/jbaines-r7/through_the_wire']","CVE-2022-26134: In affected versions of Confluence Server and Data Center, an OGNL injection ...",7.4.17,2022-06-03,0.99999,1,1,1
CVE-2014-0160,HIGH,172.16.10.19,,3000.0,,openssl,1.0.1f,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Heartbleed: The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets allowing remote attackers to obtain sensitive information from process memory.,"['https://nvd.nist.gov/vuln/detail/CVE-2014-0160', 'https://www.openssl.org/news/secadv/20140407.txt', 'https://heartbleed.com']",CVE-2014-0160: The (1) TLS and (2) DTLS implementations in OpenSSL 1.0.1 before 1.0.1g do no...,1.0.1g,2014-04-07,0.99999,1,1,4
CVE-2014-0160,HIGH,172.16.10.19,,3000.0,,openssl,1.0.1f,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Heartbleed: The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets allowing remote attackers to obtain sensitive information from process memory.,"['https://nvd.nist.gov/vuln/detail/CVE-2014-0160', 'https://www.openssl.org/news/secadv/20140407.txt', 'https://heartbleed.com']",CVE-2014-0160: The (1) TLS and (2) DTLS implementations in OpenSSL 1.0.1 before 1.0.1g do no...,1.0.1g,2014-04-07,0.99999,1,1,4
CVE-2014-0160,HIGH,172.16.10.19,,3000.0,,openssl,1.0.1f,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Heartbleed: The TLS and DTLS implementations in OpenSSL do not properly handle Heartbeat Extension packets allowing remote attackers to obtain sensitive information from process memory.,"['https://nvd.nist.gov/vuln/detail/CVE-2014-0160', 'https://www.openssl.org/news/secadv/20140407.txt', 'https://heartbleed.com']",CVE-2014-0160: The (1) TLS and (2) DTLS implementations in OpenSSL 1.0.1 before 1.0.1g do no...,1.0.1g,2014-04-07,0.99999,1,1,4
CVE-2021-22986,CRITICAL,192.168.50.22,prod-rabbitmq.internal,5672.0,,f5-big-ip,16.0.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,F5 BIG-IP iControl REST interface has an unauthenticated RCE vulnerability allowing any attacker to execute commands on the affected system.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-22986', 'https://support.f5.com/csp/article/K03009991', 'https://github.com/dorkerdevil/CVE-2021-22986-Poc']","CVE-2021-22986: On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x bef...",12.1.5.3,2021-03-31,0.99898,1,1,1
CVE-2022-22963,CRITICAL,192.168.50.23,prod-grafana.internal,3000.0,i-s1t2u3,spring-cloud-function,3.1.6,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring Cloud Function RCE vulnerability via Spring Expression Language (SpEL) in the routing functionality when using routing functionality.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22963', 'https://spring.io/security/cve-2022-22963', 'https://github.com/hktalent/spring-spel-0day-poc']","CVE-2022-22963: In Spring Cloud Function versions 3.1.6, 3.2.2 and older unsupported versions...",<= 3.1.6,2022-04-01,0.99939,1,1,1
CVE-2022-22965,CRITICAL,192.168.50.24,staging-api-server.internal,8080.0,,spring-webmvc,5.3.17,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring4Shell: A Spring MVC application running on Java 9+ can be exploited for RCE via data binding functionality with a ClassLoader.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22965', 'https://spring.io/blog/2022/03/31/spring-framework-rce-early-announcement', 'https://github.com/craig/SpringCore0day']",CVE-2022-22965: A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerabl...,5.2.20,2022-04-01,0.99677,1,1,1
CVE-2023-44487,HIGH,192.168.50.26,test-frontend-web.internal,3001.0,,nginx,1.23.3,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"HTTP/2 Rapid Reset Attack: Attackers can send a stream of requests and immediately cancel them, overwhelming the server and causing denial of service.","['https://nvd.nist.gov/vuln/detail/CVE-2023-44487', 'https://nginx.org/en/CHANGES', 'https://www.cisa.gov/news-events/alerts/2023/10/10/http2-rapid-reset-vulnerability-cve-2023-44487']",CVE-2023-44487: The HTTP/2 protocol allows a denial of service (server resource consumption) ...,1.0,2023-10-10,0.99999,1,1,1
CVE-2021-22986,CRITICAL,192.168.50.22,prod-rabbitmq.internal,5672.0,,f5-big-ip,16.0.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,F5 BIG-IP iControl REST interface has an unauthenticated RCE vulnerability allowing any attacker to execute commands on the affected system.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-22986', 'https://support.f5.com/csp/article/K03009991', 'https://github.com/dorkerdevil/CVE-2021-22986-Poc']","CVE-2021-22986: On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x bef...",12.1.5.3,2021-03-31,0.99898,1,1,1
CVE-2022-22963,CRITICAL,192.168.50.23,prod-grafana.internal,3000.0,i-s1t2u3,spring-cloud-function,3.1.6,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring Cloud Function RCE vulnerability via Spring Expression Language (SpEL) in the routing functionality when using routing functionality.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22963', 'https://spring.io/security/cve-2022-22963', 'https://github.com/hktalent/spring-spel-0day-poc']","CVE-2022-22963: In Spring Cloud Function versions 3.1.6, 3.2.2 and older unsupported versions...",<= 3.1.6,2022-04-01,0.99939,1,1,1
CVE-2022-22965,CRITICAL,192.168.50.24,staging-api-server.internal,8080.0,,spring-webmvc,5.3.17,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring4Shell: A Spring MVC application running on Java 9+ can be exploited for RCE via data binding functionality with a ClassLoader.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22965', 'https://spring.io/blog/2022/03/31/spring-framework-rce-early-announcement', 'https://github.com/craig/SpringCore0day']",CVE-2022-22965: A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerabl...,5.2.20,2022-04-01,0.99677,1,1,1
CVE-2023-44487,HIGH,192.168.50.26,test-frontend-web.internal,3001.0,,nginx,1.23.3,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"HTTP/2 Rapid Reset Attack: Attackers can send a stream of requests and immediately cancel them, overwhelming the server and causing denial of service.","['https://nvd.nist.gov/vuln/detail/CVE-2023-44487', 'https://nginx.org/en/CHANGES', 'https://www.cisa.gov/news-events/alerts/2023/10/10/http2-rapid-reset-vulnerability-cve-2023-44487']",CVE-2023-44487: The HTTP/2 protocol allows a denial of service (server resource consumption) ...,1.0,2023-10-10,0.99999,1,1,1
CVE-2021-22986,CRITICAL,192.168.50.22,prod-rabbitmq.internal,5672.0,,f5-big-ip,16.0.0,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,F5 BIG-IP iControl REST interface has an unauthenticated RCE vulnerability allowing any attacker to execute commands on the affected system.,"['https://nvd.nist.gov/vuln/detail/CVE-2021-22986', 'https://support.f5.com/csp/article/K03009991', 'https://github.com/dorkerdevil/CVE-2021-22986-Poc']","CVE-2021-22986: On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x bef...",12.1.5.3,2021-03-31,0.99898,1,1,1
CVE-2022-22963,CRITICAL,192.168.50.23,prod-grafana.internal,3000.0,i-s1t2u3,spring-cloud-function,3.1.6,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring Cloud Function RCE vulnerability via Spring Expression Language (SpEL) in the routing functionality when using routing functionality.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22963', 'https://spring.io/security/cve-2022-22963', 'https://github.com/hktalent/spring-spel-0day-poc']","CVE-2022-22963: In Spring Cloud Function versions 3.1.6, 3.2.2 and older unsupported versions...",<= 3.1.6,2022-04-01,0.99939,1,1,1
CVE-2022-22965,CRITICAL,192.168.50.24,staging-api-server.internal,8080.0,,spring-webmvc,5.3.17,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Spring4Shell: A Spring MVC application running on Java 9+ can be exploited for RCE via data binding functionality with a ClassLoader.,"['https://nvd.nist.gov/vuln/detail/CVE-2022-22965', 'https://spring.io/blog/2022/03/31/spring-framework-rce-early-announcement', 'https://github.com/craig/SpringCore0day']",CVE-2022-22965: A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerabl...,5.2.20,2022-04-01,0.99677,1,1,1
CVE-2023-44487,HIGH,192.168.50.26,test-frontend-web.internal,3001.0,,nginx,1.23.3,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"HTTP/2 Rapid Reset Attack: Attackers can send a stream of requests and immediately cancel them, overwhelming the server and causing denial of service.","['https://nvd.nist.gov/vuln/detail/CVE-2023-44487', 'https://nginx.org/en/CHANGES', 'https://www.cisa.gov/news-events/alerts/2023/10/10/http2-rapid-reset-vulnerability-cve-2023-44487']",CVE-2023-44487: The HTTP/2 protocol allows a denial of service (server resource consumption) ...,1.0,2023-10-10,0.99999,1,1,1
